Address,Latitude,Longitude
"Hay Mabrouka, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26000, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987708,-7.617712
"ISTA NTIC 1, Avenue Rahal El Meskini, Hay El Kheir, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26000, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987548,-7.614664
"Hay El Kheir, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26003, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987913,-7.596163
"Avenue Lalla Aicha, Hay El Kheir, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26000, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987604,-7.613579
"Souk l'Had, Boulevard Hassan II شارع الحسن الثاني, Hay Mabrouka, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26000, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987716,-7.618134
"P3622, Quartier Essmaâla حي السماعلة, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26000, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987753,-7.627729
"Hay El Kheir, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26003, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987545,-7.606188
"Rue Mustapha El Maani, Hay El Kheir, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26003, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987953,-7.607513
"Hay Hassani, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26000, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.98751,-7.635075
"P3622, Quartier Essmaâla حي السماعلة, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26000, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",32.987421,-7.624168
